Nx = 31
Nt = 750
n/j; 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 
44(1.76); 24.7626; 24.7626; 24.6275; 24.3612; 23.9712; 23.4681; 22.8644; 22.1738; 21.4104; 20.5876; 19.7178; 18.8121; 17.88; 16.9296; 15.9675; 15; 14.0325; 13.0704; 12.12; 11.1879; 10.2822; 9.41245; 8.58965; 7.82622; 7.13565; 6.53193; 6.02879; 5.63882; 5.3725; 5.23736; 5.23736; 
45(1.8); 24.7092; 24.7092; 24.5756; 24.3122; 23.9263; 23.428; 22.8297; 22.1446; 21.3864; 20.5686; 19.7032; 18.8013; 17.8725; 16.9248; 15.9653; 15; 14.0347; 13.0752; 12.1275; 11.1987; 10.2968; 9.43144; 8.61355; 7.85543; 7.17034; 6.57197; 6.07373; 5.68782; 5.42441; 5.2908; 5.2908; 
46(1.84); 24.6563; 24.6563; 24.5242; 24.2636; 23.8817; 23.3882; 22.795; 22.1153; 21.3624; 20.5494; 19.6884; 18.7903; 17.8648; 16.9199; 15.9629; 15; 14.0371; 13.0801; 12.1352; 11.2097; 10.3116; 9.45063; 8.6376; 7.8847; 7.20497; 6.61183; 6.11834; 5.73637; 5.47579; 5.34366; 5.34366; 
47(1.88); 24.6041; 24.6041; 24.4734; 24.2155; 23.8374; 23.3485; 22.7605; 22.086; 21.3382; 20.53; 19.6734; 18.7791; 17.8569; 16.9149; 15.9605; 15; 14.0395; 13.0851; 12.1431; 11.2209; 10.3266; 9.47; 8.66178; 7.91402; 7.23954; 6.6515; 6.16263; 5.78449; 5.52665; 5.39594; 5.39594; 
48(1.92); 24.5523; 24.5523; 24.423; 24.1678; 23.7934; 23.309; 22.726; 22.0566; 21.3139; 20.5105; 19.6581; 18.7677; 17.8488; 16.9098; 15.958; 15; 14.042; 13.0902; 12.1512; 11.2323; 10.3419; 9.48955; 8.68608; 7.94337; 7.27405; 6.69098; 6.20661; 5.83219; 5.57699; 5.44767; 5.44767; 
49(1.96); 24.5011; 24.5011; 24.3732; 24.1205; 23.7497; 23.2697; 22.6915; 22.0272; 21.2895; 20.4907; 19.6427; 18.7562; 17.8406; 16.9046; 15.9555; 15; 14.0445; 13.0954; 12.1594; 11.2438; 10.3573; 9.50925; 8.71049; 7.97276; 7.30848; 6.73027; 6.25028; 5.87946; 5.62685; 5.49886; 5.49886; 
50(2); 24.4505; 24.4505; 24.3238; 24.0737; 23.7064; 23.2306; 22.6572; 21.9978; 21.265; 20.4709; 19.6271; 18.7444; 17.8323; 16.8992; 15.9529; 15; 14.0471; 13.1008; 12.1677; 11.2556; 10.3729; 9.52911; 8.735; 8.00216; 7.34282; 6.76936; 6.29364; 5.92634; 5.67622; 5.54954; 5.54954; 
51(2.04); 24.4003; 24.4003; 24.2749; 24.0272; 23.6633; 23.1917; 22.6229; 21.9684; 21.2404; 20.4509; 19.6114; 18.7325; 17.8238; 16.8938; 15.9502; 15; 14.0498; 13.1062; 12.1762; 11.2675; 10.3886; 9.54911; 8.7596; 8.03157; 7.37709; 6.80827; 6.33671; 5.97282; 5.72513; 5.59971; 5.59971; 
52(2.08); 24.3506; 24.3506; 24.2264; 23.9811; 23.6205; 23.153; 22.5887; 21.939; 21.2157; 20.4308; 19.5955; 18.7204; 17.8151; 16.8883; 15.9475; 15; 14.0525; 13.1117; 12.1849; 11.2796; 10.4045; 9.56924; 8.78427; 8.06099; 7.41127; 6.84698; 6.37948; 6.01891; 5.77358; 5.64939; 5.64939; 
53(2.12); 24.3014; 24.3014; 24.1784; 23.9354; 23.578; 23.1145; 22.5546; 21.9096; 21.191; 20.4105; 19.5794; 18.7082; 17.8064; 16.8826; 15.9448; 15; 14.0552; 13.1174; 12.1936; 11.2918; 10.4206; 9.58949; 8.80902; 8.09041; 7.44535; 6.88551; 6.42197; 6.06463; 5.82159; 5.69859; 5.69859; 
