0; 0.5; 1; 1.5; 2; 2.5; 3; 3.5; 4; 4.5; 5; 5.5; 6; 6.5; 7; 7.5; 8; 8.5; 9; 9.5; 10; 10.5; 11; 11.5; 12; 12.5; 13; 13.5; 14; 14.5; 15; 15.5; 16; 16.5; 17; 17.5; 18; 18.5; 19; 19.5; 20; 20.5; 21; 21.5; 22; 22.5; 23; 23.5; 24; 
6.90011; 6.90011; 6.92309; 6.96895; 7.03745; 7.12828; 7.241; 7.37506; 7.52984; 7.70459; 7.8985; 8.11066; 8.34008; 8.58572; 8.84643; 9.12104; 9.40831; 9.70695; 10.0156; 10.333; 10.6576; 10.988; 11.3229; 11.6607; 12; 12.3393; 12.6771; 13.012; 13.3424; 13.667; 13.9844; 14.2931; 14.5917; 14.879; 15.1536; 15.4143; 15.6599; 15.8893; 16.1015; 16.2954; 16.4702; 16.6249; 16.759; 16.8717; 16.9625; 17.0311; 17.0769; 17.0999; 17.0999; 
7.00268; 7.00268; 7.02517; 7.07005; 7.1371; 7.226; 7.33634; 7.46758; 7.61911; 7.79022; 7.98011; 8.18789; 8.41261; 8.65324; 8.90867; 9.17775; 9.45926; 9.75195; 10.0545; 10.3656; 10.6838; 11.0078; 11.3361; 11.6673; 12; 12.3327; 12.6639; 12.9922; 13.3162; 13.6344; 13.9455; 14.2481; 14.5407; 14.8223; 15.0913; 15.3468; 15.5874; 15.8121; 16.0199; 16.2098; 16.3809; 16.5324; 16.6637; 16.774; 16.8629; 16.93; 16.9748; 16.9973; 16.9973; 
7.10308; 7.10308; 7.1251; 7.16903; 7.23467; 7.3217; 7.42972; 7.55822; 7.7066; 7.87416; 8.06013; 8.26364; 8.48377; 8.7195; 8.96977; 9.23343; 9.50931; 9.79617; 10.0927; 10.3976; 10.7096; 11.0272; 11.3491; 11.6738; 12; 12.3262; 12.6509; 12.9728; 13.2904; 13.6024; 13.9073; 14.2038; 14.4907; 14.7666; 15.0302; 15.2805; 15.5162; 15.7364; 15.9399; 16.1258; 16.2934; 16.4418; 16.5703; 16.6783; 16.7653; 16.831; 16.8749; 16.8969; 16.8969; 
7.20138; 7.20138; 7.22293; 7.26594; 7.33021; 7.41542; 7.52119; 7.64702; 7.79233; 7.95643; 8.13858; 8.33793; 8.55358; 8.78453; 9.02974; 9.28811; 9.55847; 9.8396; 10.1303; 10.4292; 10.735; 11.0463; 11.3619; 11.6802; 12; 12.3198; 12.6381; 12.9537; 13.265; 13.5708; 13.8697; 14.1604; 14.4415; 14.7119; 14.9703; 15.2155; 15.4464; 15.6621; 15.8614; 16.0436; 16.2077; 16.353; 16.4788; 16.5846; 16.6698; 16.7341; 16.7771; 16.7986; 16.7986; 
7.29762; 7.29762; 7.31873; 7.36085; 7.42378; 7.50722; 7.6108; 7.73403; 7.87634; 8.03708; 8.2155; 8.41078; 8.62205; 8.84833; 9.0886; 9.34178; 9.60673; 9.88226; 10.1671; 10.4601; 10.7599; 11.0651; 11.3744; 11.6865; 12; 12.3135; 12.6256; 12.9349; 13.2401; 13.5399; 13.8329; 14.1177; 14.3933; 14.6582; 14.9114; 15.1517; 15.378; 15.5892; 15.7845; 15.9629; 16.1237; 16.266; 16.3892; 16.4928; 16.5762; 16.6392; 16.6813; 16.7024; 16.7024; 
7.39188; 7.39188; 7.41255; 7.45379; 7.51542; 7.59714; 7.69859; 7.81928; 7.95868; 8.11612; 8.2909; 8.48222; 8.6892; 8.91091; 9.14635; 9.39445; 9.6541; 9.92413; 10.2034; 10.4905; 10.7843; 11.0835; 11.3868; 11.6927; 12; 12.3073; 12.6132; 12.9165; 13.2157; 13.5095; 13.7966; 14.0759; 14.3459; 14.6056; 14.8537; 15.0891; 15.3108; 15.5178; 15.7091; 15.8839; 16.0413; 16.1807; 16.3014; 16.4029; 16.4846; 16.5462; 16.5875; 16.6081; 16.6081; 
7.48419; 7.48419; 7.50444; 7.54483; 7.60519; 7.68523; 7.7846; 7.90282; 8.03936; 8.1936; 8.36482; 8.55226; 8.75506; 8.9723; 9.203; 9.44612; 9.70058; 9.96523; 10.2389; 10.5204; 10.8084; 11.1016; 11.3989; 11.6988; 12; 12.3012; 12.6011; 12.8984; 13.1916; 13.4796; 13.7611; 14.0348; 14.2994; 14.5539; 14.797; 15.0277; 15.2449; 15.4477; 15.6352; 15.8064; 15.9606; 16.0972; 16.2154; 16.3148; 16.3948; 16.4552; 16.4956; 16.5158; 16.5158; 
7.57461; 7.57461; 7.59444; 7.634; 7.69313; 7.77153; 7.86886; 7.98467; 8.11843; 8.26953; 8.43729; 8.62093; 8.81963; 9.0325; 9.25857; 9.49682; 9.74619; 10.0056; 10.2738; 10.5496; 10.8319; 11.1194; 11.4108; 11.7047; 12; 12.2953; 12.5892; 12.8806; 13.1681; 13.4504; 13.7262; 13.9944; 14.2538; 14.5032; 14.7414; 14.9675; 15.1804; 15.3791; 15.5627; 15.7305; 15.8816; 16.0153; 16.1311; 16.2285; 16.3069; 16.366; 16.4056; 16.4254; 16.4254; 
7.66318; 7.66318; 7.6826; 7.72136; 7.77927; 7.85608; 7.95143; 8.06488; 8.19592; 8.34396; 8.50832; 8.68825; 8.88295; 9.09154; 9.31307; 9.54655; 9.79093; 10.0451; 10.308; 10.5784; 10.8551; 11.1368; 11.4224; 11.7106; 12; 12.2894; 12.5776; 12.8632; 13.1449; 13.4216; 13.692; 13.9549; 14.2091; 14.4535; 14.6869; 14.9085; 15.117; 15.3117; 15.4917; 15.656; 15.8041; 15.9351; 16.0486; 16.1439; 16.2207; 16.2786; 16.3174; 16.3368; 16.3368; 
7.74994; 7.74994; 7.76897; 7.80694; 7.86367; 7.93892; 8.03233; 8.14348; 8.27186; 8.41691; 8.57794; 8.75425; 8.94503; 9.14942; 9.36651; 9.59532; 9.83482; 10.084; 10.3416; 10.6066; 10.8778; 11.154; 11.4339; 11.7163; 12; 12.2837; 12.5661; 12.846; 13.1222; 13.3934; 13.6584; 13.916; 14.1652; 14.4047; 14.6335; 14.8506; 15.055; 15.2457; 15.4221; 15.5831; 15.7281; 15.8565; 15.9677; 16.0611; 16.1363; 16.1931; 16.231; 16.2501; 16.2501; 
