0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 
3.06231; 3.06231; 3.31002; 3.78178; 4.43697; 5.22826; 6.1113; 7.05062; 8.02148; 9.0085; 10.0031; 11.001; 12; 12.999; 13.9969; 14.9915; 15.9785; 16.9494; 17.8887; 18.7717; 19.563; 20.2182; 20.69; 20.9377; 20.9377; 
3.07643; 3.07643; 3.32279; 3.79224; 4.44472; 5.23349; 6.11451; 7.05242; 8.0224; 9.00893; 10.0033; 11.001; 12; 12.999; 13.9967; 14.9911; 15.9776; 16.9476; 17.8855; 18.7665; 19.5553; 20.2078; 20.6772; 20.9236; 20.9236; 
3.09048; 3.09048; 3.33551; 3.80267; 4.45249; 5.23875; 6.11775; 7.05425; 8.02334; 9.00938; 10.0035; 11.0011; 12; 12.9989; 13.9965; 14.9906; 15.9767; 16.9458; 17.8822; 18.7612; 19.5475; 20.1973; 20.6645; 20.9095; 20.9095; 
3.10444; 3.10444; 3.34817; 3.81308; 4.46027; 5.24404; 6.12103; 7.05611; 8.02431; 9.00984; 10.0037; 11.0012; 12; 12.9988; 13.9963; 14.9902; 15.9757; 16.9439; 17.879; 18.756; 19.5397; 20.1869; 20.6518; 20.8956; 20.8956; 
3.11834; 3.11834; 3.36078; 3.82347; 4.46805; 5.24935; 6.12434; 7.058; 8.0253; 9.01031; 10.0039; 11.0013; 12; 12.9987; 13.9961; 14.9897; 15.9747; 16.942; 17.8757; 18.7506; 19.5319; 20.1765; 20.6392; 20.8817; 20.8817; 
3.13215; 3.13215; 3.37333; 3.83384; 4.47585; 5.25469; 6.12768; 7.05991; 8.02631; 9.0108; 10.0041; 11.0013; 12; 12.9987; 13.9959; 14.9892; 15.9737; 16.9401; 17.8723; 18.7453; 19.5242; 20.1662; 20.6267; 20.8678; 20.8678; 
3.1459; 3.1459; 3.38584; 3.84419; 4.48365; 5.26006; 6.13106; 7.06186; 8.02734; 9.0113; 10.0043; 11.0014; 12; 12.9986; 13.9957; 14.9887; 15.9727; 16.9381; 17.8689; 18.7399; 19.5164; 20.1558; 20.6142; 20.8541; 20.8541; 
3.15958; 3.15958; 3.39828; 3.85451; 4.49145; 5.26545; 6.13447; 7.06384; 8.02839; 9.01182; 10.0046; 11.0015; 12; 12.9985; 13.9954; 14.9882; 15.9716; 16.9362; 17.8655; 18.7346; 19.5085; 20.1455; 20.6017; 20.8404; 20.8404; 
3.17318; 3.17318; 3.41068; 3.86481; 4.49927; 5.27087; 6.13791; 7.06584; 8.02947; 9.01235; 10.0048; 11.0016; 12; 12.9984; 13.9952; 14.9876; 15.9705; 16.9342; 17.8621; 18.7291; 19.5007; 20.1352; 20.5893; 20.8268; 20.8268; 
3.18672; 3.18672; 3.42303; 3.87509; 4.50708; 5.27631; 6.14138; 7.06788; 8.03057; 9.0129; 10.0051; 11.0017; 12; 12.9983; 13.9949; 14.9871; 15.9694; 16.9321; 17.8586; 18.7237; 19.4929; 20.1249; 20.577; 20.8133; 20.8133; 
