Nx = 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nt = 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
n/j;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30; 
50(0,5);26,964;26,964;26,7143;26,2389;25,5792;24,7833;23,8963;22,954;21,981;20,9928;19,9974;18,9992;17,9997;16,9999;16;15;14;13,0001;12,0003;11,0008;10,0026;9,00723;8,01896;7,04604;6,10368;5,21668;4,42082;3,76113;3,28573;3,03598;3,03598; 
51(0,51);26,939;26,939;26,6917;26,2204;25,5656;24,7742;23,8908;22,9509;21,9795;20,9921;19,9971;18,999;17,9997;16,9999;16;15;14;13,0001;12,0003;11,001;10,0029;9,00794;8,02049;7,0491;6,10922;5,2258;4,43444;3,77956;3,30829;3,06095;3,06095; 
52(0,52);26,9143;26,9143;26,6693;26,2021;25,5519;24,765;23,8851;22,9478;21,9779;20,9913;19,9968;18,9989;17,9997;16,9999;16;15;14;13,0001;12,0003;11,0011;10,0032;9,00868;8,0221;7,05225;6,11486;5,235;4,44809;3,79792;3,33069;3,08568;3,08568; 
53(0,53);26,8898;26,8898;26,6471;26,1838;25,5382;24,7557;23,8794;22,9445;21,9762;20,9905;19,9965;18,9988;17,9996;16,9999;16;15;14;13,0001;12,0004;11,0012;10,0035;9,00947;8,02377;7,05549;6,12062;5,2443;4,46176;3,81622;3,35291;3,11018;3,11018; 
54(0,54);26,8655;26,8655;26,625;26,1656;25,5245;24,7463;23,8735;22,9412;21,9745;20,9897;19,9961;18,9986;17,9996;16,9999;16;15;14;13,0001;12,0004;11,0014;10,0039;9,01031;8,02551;7,05883;6,12647;5,25368;4,47546;3,83444;3,37497;3,13446;3,13446; 
55(0,55);26,8415;26,8415;26,6031;26,1474;25,5108;24,7369;23,8676;22,9377;21,9727;20,9888;19,9957;18,9985;17,9995;16,9998;16;15;14;13,0002;12,0005;11,0015;10,0043;9,01119;8,02732;7,06227;6,13243;5,26313;4,48918;3,85259;3,39686;3,15851;3,15851; 
56(0,56);26,8177;26,8177;26,5814;26,1293;25,4971;24,7273;23,8615;22,9342;21,9708;20,9879;19,9953;18,9983;17,9994;16,9998;16;15;14;13,0002;12,0006;11,0017;10,0047;9,01211;8,0292;7,06579;6,13848;5,27267;4,50292;3,87068;3,4186;3,18234;3,18234; 
57(0,57);26,794;26,794;26,5598;26,1113;25,4833;24,7177;23,8554;22,9306;21,9688;20,9869;19,9949;18,9981;17,9994;16,9998;15,9999;15;14,0001;13,0002;12,0006;11,0019;10,0051;9,01308;8,03115;7,0694;6,14463;5,28227;4,51667;3,8887;3,44018;3,20597;3,20597; 
58(0,58);26,7706;26,7706;26,5384;26,0934;25,4696;24,7081;23,8491;22,9269;21,9668;20,9859;19,9944;18,9979;17,9993;16,9998;15,9999;15;14,0001;13,0002;12,0007;11,0021;10,0056;9,01409;8,03317;7,0731;6,15087;5,29195;4,53043;3,90664;3,46161;3,22939;3,22939; 
59(0,59);26,7474;26,7474;26,5171;26,0755;25,4558;24,6983;23,8428;22,9231;21,9647;20,9849;19,9939;18,9977;17,9992;16,9997;15,9999;15;14,0001;13,0003;12,0008;11,0023;10,0061;9,01515;8,03525;7,07688;6,1572;5,30169;4,54421;3,92452;3,48289;3,25261;3,25261; 
60(0,6);26,7244;26,7244;26,496;26,0577;25,442;24,6885;23,8364;22,9192;21,9626;20,9837;19,9934;18,9975;17,9991;16,9997;15,9999;15;14,0001;13,0003;12,0009;11,0025;10,0066;9,01625;8,03741;7,08075;6,16362;5,31149;4,55798;3,94232;3,50403;3,27564;3,27564; 
61(0,61);26,7015;26,7015;26,475;26,0399;25,4282;24,6786;23,8299;22,9153;21,9604;20,9826;19,9928;18,9972;17,999;16,9997;15,9999;15;14,0001;13,0003;12,001;11,0028;10,0072;9,01741;8,03963;7,0847;6,17012;5,32136;4,57177;3,96006;3,52502;3,29848;3,29848; 
62(0,62);26,6789;26,6789;26,4541;26,0223;25,4144;24,6687;23,8233;22,9113;21,9581;20,9814;19,9922;18,997;17,9989;16,9996;15,9999;15;14,0001;13,0004;12,0011;11,003;10,0078;9,0186;8,04191;7,08874;6,1767;5,33127;4,58556;3,97773;3,54587;3,32113;3,32113; 
63(0,63);26,6564;26,6564;26,4334;26,0047;25,4007;24,6588;23,8166;22,9071;21,9557;20,9801;19,9916;18,9967;17,9988;16,9996;15,9999;15;14,0001;13,0004;12,0012;11,0033;10,0084;9,01985;8,04426;7,09285;6,18336;5,34124;4,59935;3,99532;3,56658;3,34361;3,34361; 
64(0,64);26,6341;26,6341;26,4128;25,9871;25,3869;24,6487;23,8099;22,903;21,9533;20,9789;19,991;18,9964;17,9986;16,9995;15,9999;15;14,0001;13,0005;12,0014;11,0036;10,009;9,02114;8,04668;7,09704;6,1901;5,35127;4,61313;4,01285;3,58716;3,36591;3,36591; 
65(0,65);26,612;26,612;26,3924;25,9697;25,3731;24,6387;23,8031;22,8987;21,9508;20,9775;19,9903;18,9961;17,9985;16,9995;15,9998;15;14,0002;13,0005;12,0015;11,0039;10,0097;9,02248;8,04916;7,10131;6,19691;5,36134;4,62692;4,03031;3,6076;3,38803;3,38803; 
66(0,66);26,59;26,59;26,3721;25,9523;25,3593;24,6285;23,7962;22,8943;21,9483;20,9761;19,9896;18,9957;17,9984;16,9994;15,9998;15;14,0002;13,0006;12,0016;11,0043;10,0104;9,02387;8,05171;7,10566;6,20379;5,37145;4,6407;4,0477;3,62792;3,40999;3,40999; 
67(0,67);26,5682;26,5682;26,3519;25,935;25,3455;24,6184;23,7893;22,8899;21,9457;20,9747;19,9889;18,9954;17,9982;16,9993;15,9998;15;14,0002;13,0007;12,0018;11,0046;10,0111;9,02531;8,05432;7,11008;6,21075;5,38161;4,65448;4,06502;3,6481;3,43178;3,43178; 
68(0,68);26,5466;26,5466;26,3318;25,9177;25,3318;24,6082;23,7822;22,8854;21,943;20,9732;19,9881;18,995;17,998;16,9993;15,9998;15;14,0002;13,0007;12,002;11,005;10,0119;9,02679;8,057;7,11457;6,21777;5,39181;4,66824;4,08228;3,66816;3,45341;3,45341; 
69(0,69);26,5251;26,5251;26,3119;25,9005;25,318;24,598;23,7751;22,8809;21,9403;20,9717;19,9873;18,9946;17,9979;16,9992;15,9997;15;14,0003;13,0008;12,0021;11,0054;10,0127;9,02832;8,05973;7,11913;6,22485;5,40205;4,682;4,09946;3,6881;3,47489;3,47489; 
70(0,7);26,5038;26,5038;26,2921;25,8834;25,3042;24,5877;23,768;22,8762;21,9375;20,9701;19,9865;18,9942;17,9977;16,9991;15,9997;15;14,0003;13,0009;12,0023;11,0058;10,0135;9,0299;8,06253;7,12376;6,232;5,41233;4,69575;4,11658;3,70791;3,49621;3,49621; 
71(0,71);26,4826;26,4826;26,2724;25,8664;25,2905;24,5774;23,7608;22,8715;21,9346;20,9685;19,9856;18,9938;17,9975;16,999;15,9997;15;14,0003;13,001;12,0025;11,0062;10,0144;9,03153;8,06539;7,12846;6,23921;5,42264;4,70949;4,13363;3,72761;3,51738;3,51738; 
72(0,72);26,4616;26,4616;26,2528;25,8494;25,2768;24,567;23,7535;22,8668;21,9317;20,9668;19,9847;18,9933;17,9973;16,9989;15,9996;15;14,0004;13,0011;12,0027;11,0067;10,0153;9,0332;8,06831;7,13323;6,24648;5,43298;4,72322;4,15061;3,74719;3,5384;3,5384; 
73(0,73);26,4407;26,4407;26,2333;25,8325;25,2631;24,5566;23,7462;22,8619;21,9287;20,9651;19,9838;18,9929;17,997;16,9988;15,9996;15;14,0004;13,0012;12,003;11,0071;10,0162;9,03492;8,07129;7,13806;6,2538;5,44335;4,73694;4,16753;3,76665;3,55928;3,55928; 
74(0,74);26,42;26,42;26,214;25,8156;25,2494;24,5462;23,7388;22,857;21,9257;20,9633;19,9828;18,9924;17,9968;16,9987;15,9996;15;14,0004;13,0013;12,0032;11,0076;10,0172;9,03669;8,07433;7,14296;6,26118;5,45376;4,75064;4,18438;3,786;3,58002;3,58002; 
75(0,75);26,3994;26,3994;26,1948;25,7988;25,2357;24,5358;23,7314;22,8521;21,9226;20,9615;19,9818;18,9919;17,9965;16,9986;15,9995;15;14,0005;13,0014;12,0035;11,0081;10,0182;9,0385;8,07743;7,14792;6,26862;5,46419;4,76432;4,20117;3,80524;3,60062;3,60062; 
76(0,76);26,3789;26,3789;26,1756;25,7821;25,222;24,5254;23,7239;22,8471;21,9194;20,9596;19,9808;18,9913;17,9963;16,9985;15,9995;15;14,0005;13,0015;12,0037;11,0087;10,0192;9,04036;8,08059;7,15294;6,27611;5,47464;4,778;4,21789;3,82437;3,62108;3,62108; 
77(0,77);26,3586;26,3586;26,1566;25,7654;25,2083;24,5149;23,7164;22,842;21,9162;20,9577;19,9797;18,9908;17,996;16,9984;15,9994;15;14,0006;13,0016;12,004;11,0092;10,0203;9,04227;8,0838;7,15802;6,28364;5,48512;4,79165;4,23455;3,8434;3,64141;3,64141; 
78(0,78);26,3384;26,3384;26,1377;25,7489;25,1947;24,5044;23,7088;22,8368;21,9129;20,9558;19,9786;18,9902;17,9957;16,9983;15,9994;15;14,0006;13,0017;12,0043;11,0098;10,0214;9,04422;8,08707;7,16316;6,29123;5,49563;4,80529;4,25115;3,86231;3,66161;3,66161; 
79(0,79);26,3183;26,3183;26,1189;25,7323;25,1811;24,4938;23,7011;22,8316;21,9096;20,9538;19,9775;18,9896;17,9954;16,9981;15,9993;15;14,0007;13,0019;12,0046;11,0104;10,0225;9,04622;8,09039;7,16836;6,29886;5,50616;4,81891;4,26768;3,88113;3,68168;3,68168; 
80(0,8);26,2984;26,2984;26,1002;25,7159;25,1675;24,4833;23,6935;22,8264;21,9062;20,9517;19,9763;18,989;17,9951;16,998;15,9993;15;14,0007;13,002;12,0049;11,011;10,0237;9,04826;8,09377;7,17361;6,30654;5,5167;4,83251;4,28415;3,89984;3,70162;3,70162; 
