Nx = 31
Nt = 3000
n/j; 0; 1; 2; 3; 4; 5; 6; 7; 8; 9; 10; 11; 12; 13; 14; 15; 16; 17; 18; 19; 20; 21; 22; 23; 24; 25; 26; 27; 28; 29; 30; 
46(2.3); 24.1178; 24.1178; 24.0008; 23.7669; 23.4257; 22.9773; 22.439; 21.8108; 21.1136; 20.3479; 19.5343; 18.674; 17.7844; 16.8682; 15.9384; 15; 14.0616; 13.1318; 12.2156; 11.326; 10.4657; 9.65206; 8.88639; 8.18921; 7.56105; 7.02268; 6.57432; 6.23313; 5.99916; 5.88217; 5.88217; 
47(2.35); 24.0593; 24.0593; 23.9424; 23.7133; 23.3721; 22.9323; 22.3941; 21.7763; 21.0794; 20.324; 19.511; 18.6594; 17.7711; 16.8614; 15.9341; 15; 14.0659; 13.1386; 12.2289; 11.3406; 10.489; 9.67603; 8.92064; 8.22372; 7.60595; 7.06769; 6.62791; 6.28674; 6.05765; 5.94066; 5.94066; 
48(2.4); 24.0008; 24.0008; 23.8863; 23.6572; 23.3228; 22.8831; 22.3543; 21.7367; 21.0501; 20.2952; 19.4917; 18.6411; 17.7604; 16.8526; 15.9307; 15; 14.0693; 13.1474; 12.2396; 11.3589; 10.5083; 9.70483; 8.94988; 8.26329; 7.6457; 7.11693; 6.67721; 6.34278; 6.1137; 5.99916; 5.99916; 
49(2.45); 23.9436; 23.9436; 23.829; 23.6045; 23.2701; 22.8385; 22.3099; 21.7022; 21.0159; 20.2709; 19.4681; 18.626; 17.7468; 16.8456; 15.9263; 15; 14.0737; 13.1544; 12.2532; 11.374; 10.5319; 9.7291; 8.98406; 8.29779; 7.69011; 7.16146; 6.72985; 6.39546; 6.17097; 6.05643; 6.05643; 
50(2.5); 23.8863; 23.8863; 23.7741; 23.5496; 23.2215; 22.79; 22.2704; 21.6629; 20.9866; 20.242; 19.4485; 18.6075; 17.7358; 16.8366; 15.9228; 15; 14.0772; 13.1634; 12.2642; 11.3925; 10.5515; 9.75797; 9.01345; 8.33708; 7.72962; 7.20998; 6.77846; 6.45041; 6.22594; 6.1137; 6.1137; 
51(2.55); 23.8302; 23.8302; 23.7179; 23.4978; 23.1698; 22.746; 22.2265; 21.6285; 20.9525; 20.2175; 19.4248; 18.5921; 17.722; 16.8293; 15.9183; 15; 14.0817; 13.1707; 12.278; 11.4079; 10.5752; 9.78249; 9.04753; 8.37153; 7.77353; 7.25404; 6.8302; 6.5022; 6.28205; 6.16982; 6.16982; 
52(2.6); 23.7741; 23.7741; 23.664; 23.4439; 23.1219; 22.6981; 22.1872; 21.5895; 20.923; 20.1886; 19.4048; 18.5734; 17.7107; 16.8202; 15.9146; 15; 14.0854; 13.1798; 12.2893; 11.4266; 10.5952; 9.81139; 9.07701; 8.41053; 7.81279; 7.30186; 6.87812; 6.55612; 6.33601; 6.22594; 6.22594; 
53(2.65); 23.719; 23.719; 23.609; 23.3929; 23.071; 22.6545; 22.1438; 21.5551; 20.889; 20.1639; 19.381; 18.5578; 17.6968; 16.8127; 15.9101; 15; 14.0899; 13.1873; 12.3032; 11.4422; 10.619; 9.8361; 9.11096; 8.4449; 7.8562; 7.34545; 6.92899; 6.60707; 6.39103; 6.28097; 6.28097; 
54(2.7); 23.664; 23.664; 23.556; 23.34; 23.0237; 22.6074; 22.1048; 21.5164; 20.8595; 20.135; 19.3608; 18.5389; 17.6852; 16.8034; 15.9063; 15; 14.0937; 13.1966; 12.3148; 11.4611; 10.6392; 9.86498; 9.1405; 8.48358; 7.89518; 7.3926; 6.97626; 6.66001; 6.44402; 6.336; 6.336; 
55(2.75); 23.61; 23.61; 23.502; 23.2899; 22.9737; 22.5643; 22.0619; 21.4822; 20.8257; 20.1102; 19.337; 18.523; 17.6712; 16.7958; 15.9017; 15; 14.0983; 13.2042; 12.3288; 11.477; 10.663; 9.88983; 9.17428; 8.51784; 7.93809; 7.43572; 7.0263; 6.71014; 6.49801; 6.39001; 6.39001; 
