;Nx = 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Nt = 750;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;n/j;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30; 
2,08;52(2,08);24,3755;24,3755;24,2519;24,0075;23,6482;23,1818;22,6182;21,9684;21,2443;20,4575;19,6194;18,7406;17,8309;16,8991;15,953;15;14,047;13,1009;12,1691;11,2594;10,3806;9,54254;8,75572;8,03156;7,38183;6,81822;6,35182;5,99245;5,74813;5,6245;5,6245; 
2,12;53(2,12);24,326;24,326;24,2036;23,9615;23,6054;23,1429;22,5837;21,9387;21,2192;20,4369;19,6031;18,7282;17,8221;16,8934;15,9502;15;14,0498;13,1066;12,1779;11,2718;10,3969;9,56305;8,78078;8,06133;7,41628;6,8571;6,39464;6,03847;5,79641;5,67395;5,67395; 
2,16;54(2,16);24,2771;24,2771;24,1557;23,9159;23,5628;23,1042;22,5494;21,9089;21,1941;20,4163;19,5867;18,7157;17,8131;16,8876;15,9474;15;14,0526;13,1124;12,1869;11,2843;10,4133;9,58368;8,80591;8,09109;7,45063;6,89579;6,43716;6,08411;5,84425;5,72293;5,72293; 
2,2;55(2,2);24,2285;24,2285;24,1083;23,8706;23,5206;23,0657;22,5151;21,8792;21,1689;20,3956;19,5702;18,703;17,8039;16,8817;15,9445;15;14,0555;13,1183;12,1961;11,297;10,4298;9,60442;8,83109;8,12083;7,48488;6,93427;6,47939;6,12939;5,89167;5,77146;5,77146; 
2,24;56(2,24);24,1805;24,1805;24,0613;23,8257;23,4787;23,0274;22,481;21,8494;21,1437;20,3747;19,5535;18,6902;17,7947;16,8757;15,9416;15;14,0584;13,1243;12,2053;11,3098;10,4465;9,62526;8,85632;8,15055;7,51902;6,97256;6,52134;6,1743;5,93867;5,81954;5,81954; 
2,28;57(2,28);24,1328;24,1328;24,0147;23,7811;23,437;22,9893;22,4469;21,8198;21,1184;20,3538;19,5367;18,6773;17,7853;16,8697;15,9386;15;14,0614;13,1303;12,2147;11,3227;10,4633;9,64619;8,88159;8,18025;7,55305;7,01066;6,56301;6,21887;5,98527;5,86719;5,86719; 
2,32;58(2,32);24,0856;24,0856;23,9685;23,7369;23,3956;22,9514;22,413;21,7901;21,0931;20,3328;19,5198;18,6643;17,7759;16,8635;15,9356;15;14,0644;13,1365;12,2241;11,3357;10,4802;9,6672;8,90689;8,20991;7,58697;7,04856;6,60441;6,26309;6,03148;5,91443;5,91443; 
2,36;59(2,36);24,0388;24,0388;23,9227;23,693;23,3545;22,9137;22,3792;21,7605;21,0678;20,3117;19,5028;18,6511;17,7663;16,8573;15,9325;15;14,0675;13,1427;12,2337;11,3489;10,4972;9,68828;8,93222;8,23953;7,62078;7,08626;6,64554;6,30697;6,0773;5,96125;5,96125; 
2,4;60(2,4);23,9923;23,9923;23,8773;23,6495;23,3136;22,8762;22,3455;21,7309;21,0424;20,2906;19,4857;18,6379;17,7566;16,851;15,9294;15;14,0706;13,149;12,2434;11,3621;10,5143;9,70943;8,95757;8,2691;7,65447;7,12378;6,6864;6,35053;6,12275;6,00767;6,00767; 
2,44;61(2,44);23,9463;23,9463;23,8322;23,6062;23,273;22,8389;22,312;21,7014;21,0171;20,2694;19,4685;18,6245;17,7469;16,8446;15,9263;15;14,0737;13,1554;12,2531;11,3755;10,5315;9,73064;8,98293;8,29864;7,68805;7,16111;6,72701;6,39377;6,16783;6,0537;6,0537; 
2,48;62(2,48);23,9006;23,9006;23,7874;23,5633;23,2326;22,8018;22,2785;21,6719;20,9917;20,2481;19,4512;18,611;17,737;16,8382;15,9231;15;14,0769;13,1618;12,263;11,389;10,5488;9,7519;9,00829;8,32812;7,72151;7,19824;6,76735;6,43669;6,21255;6,09935;6,09935; 
2,52;63(2,52);23,8554;23,8554;23,7431;23,5207;23,1926;22,7648;22,2452;21,6425;20,9663;20,2268;19,4339;18,5975;17,7271;16,8317;15,9199;15;14,0801;13,1683;12,2729;11,4025;10,5661;9,7732;9,03366;8,35754;7,75485;7,23519;6,80744;6,4793;6,25693;6,14463;6,14463; 
2,56;64(2,56);23,8105;23,8105;23,699;23,4784;23,1527;22,728;22,2119;21,6131;20,941;20,2055;19,4165;18,5839;17,7171;16,8251;15,9166;15;14,0834;13,1749;12,2829;11,4161;10,5835;9,79454;9,05903;8,38691;7,78806;7,27195;6,84728;6,52161;6,30096;6,18955;6,18955; 
